0,1,2,3,4,6,8,9,10,11
(60,765,135.000019,-2)
(66,759,135.000019,-2)
(72,753,135.000019,-2)
(78,747,135.000019,-2)
(84,741,135.000019,-2)
(90,735,135.000019,-2)
(96,729,135.000019,-2)
(102,723,135.000019,-2)
(108,717,135.000019,-2)
(114,711,135.000019,-2)
(120,705,135.000019,-2)
(127,698,135.000019,-2)
(134,691,134.999992,-2)
(142,683,135.000004,-2)
(149,676,135.000011,-2)
(156,669,134.999996,-2)
(163,662,134.999996,-2)
(171,654,135.000008,-2)
(178,647,135.000004,-2)
(184,640,134.999989,-2)
(191,633,134.999969,-2)
(198,626,135.000031,-2)
(202,622,135.000000,-2)
(209,615,134.999985,-2)
(217,607,135.000000,-2)
(224,600,135.000031,-2)
(231,593,135.000004,-2)
(238,586,135.000019,-2)
(246,578,134.999996,-2)
(253,571,134.999977,-2)
(260,564,134.999977,-2)
(264,560,135.000027,-2)
(271,553,134.999973,-2)
(278,546,135.000015,-2)
(286,538,135.000015,-2)
(293,531,135.000008,-2)
(300,524,134.999989,-2)
(307,517,135.000004,-2)
(315,509,134.999973,-2)
(322,502,134.999973,-2)
(326,498,134.999954,-2)
(333,491,135.000004,-2)
(341,483,134.999992,-2)
(348,476,134.999989,-2)
(356,468,135.000000,-2)
(363,461,134.999996,-2)
(371,453,135.000011,-2)
(378,446,135.000034,-2)
(382,442,135.000000,-2)
(389,435,134.999996,-2)
(396,428,135.000004,-2)
(404,420,134.999992,-2)
(411,413,135.000015,-2)
(418,406,134.999996,-2)
(425,399,134.999985,-2)
(432,392,135.000008,-2)
(439,385,135.000019,-2)
(443,381,135.000000,-2)
(450,374,135.000000,-2)
(458,366,135.000000,-2)
(465,359,135.000004,-2)
(473,351,135.000008,-2)
(480,344,135.000000,-2)
(488,336,135.000011,-2)
(495,329,134.999996,-2)
(503,321,134.999996,-2)
(510,314,134.999996,-2)
(514,310,133.771828,-2)
(521,303,134.154247,-2)
(529,296,134.461910,-2)
(536,289,134.732002,-2)
(543,281,134.987053,-2)
(551,274,135.244671,-2)
(558,267,135.523476,-2)
(565,259,135.849796,-2)
(572,252,136.271500,-2)
(576,248,133.451843,-2)
(584,241,133.918255,-2)
(591,233,134.311230,-2)
(599,226,134.664467,-2)
(606,218,135.000023,-2)
(614,211,135.335548,-2)
(621,203,135.688774,-2)
(629,196,136.081760,-2)
(636,188,136.081760,-2)
(640,184,134.999989,-2)
(647,177,134.999977,-2)
(654,170,135.000000,-2)
(661,163,135.000000,-2)
(669,155,135.000004,-2)
(676,148,134.999989,-2)
(683,141,134.999992,-2)
(690,134,135.000015,-2)
(697,127,134.999992,-2)
(701,123,133.531200,-2)
(708,116,133.975212,-2)
(716,109,134.306301,-2)
(723,102,134.580021,-2)
(730,95,134.824635,-2)
(737,88,135.058178,-2)
(744,80,135.295319,-2)
(751,73,135.551796,-2)
(758,66,135.849613,-2)
(766,59,136.227184,-2)
(769,55,133.531200,-2)
(776,48,134.037086,-2)
(784,41,134.349373,-2)
(791,33,134.586502,-2)
(799,26,134.793568,-2)
(806,19,134.997681,-2)
(813,11,135.226185,-2)
(821,4,135.526897,-2)
(828,-2,136.043205,-2)
(835,-10,136.043205,-2)
(835,-11,136.043205,-2)
(842,-17,136.043205,-2)
(849,-24,136.043205,-2)
(856,-31,136.043205,-2)
(863,-38,136.043205,-2)
(870,-45,136.043205,-2)
(877,-52,136.043205,-2)
(884,-59,136.043205,-2)
(891,-66,136.043205,-2)
(898,-73,136.043205,-2)
(905,-80,136.043205,-2)
