8,9,10,11
(-68,-136,24.405556,-2)
(-64,-128,24.405556,-2)
(-60,-120,24.405556,-2)
(-56,-112,24.405556,-2)
(-52,-104,24.405556,-2)
(-48,-96,24.405556,-2)
(-44,-88,24.405556,-2)
(-40,-80,24.405556,-2)
(-36,-72,24.405556,-2)
(-32,-64,24.405556,-2)
(-28,-56,24.405556,-2)
(-24,-48,24.405556,-2)
(-20,-40,24.405556,-2)
(-16,-32,24.405556,-2)
(-12,-24,24.405556,-2)
(-8,-16,24.405556,-2)
(-4,-8,24.405556,-2)
(0,0,24.405556,-2)
(4,9,24.405556,-2)
(9,19,23.048126,-2)
(13,28,22.538322,-2)
(16,37,22.403351,-2)
(20,47,22.483490,-2)
(24,56,22.710655,-2)
(28,66,23.052887,-2)
(32,75,23.495476,-2)
(36,84,24.033615,-2)
(41,94,24.669182,-2)
(45,103,25.409508,-2)
(49,112,26.267342,-2)
(54,121,27.261490,-2)
(59,130,28.418495,-2)
(64,139,29.775333,-2)
(69,148,31.383869,-2)
(74,156,33.318134,-2)
(80,165,35.686459,-2)
(86,173,38.652115,-2)
(93,181,42.469265,-2)
(100,188,42.469265,-2)
(104,191,49.352184,-2)
(112,198,51.384987,-2)
(120,204,53.070736,-2)
(128,210,54.529079,-2)
(136,216,55.833248,-2)
(145,221,57.031639,-2)
(153,227,58.158276,-2)
(162,232,59.238564,-2)
(171,237,60.292645,-2)
(180,242,61.337511,-2)
(188,247,62.388359,-2)
(198,252,63.459736,-2)
(207,256,64.566320,-2)
(216,260,65.723854,-2)
(225,264,66.950064,-2)
(235,268,68.265667,-2)
(244,272,69.695890,-2)
(254,275,71.272459,-2)
(263,278,73.036394,-2)
(273,281,75.042299,-2)
(283,284,77.364892,-2)
(293,286,80.109242,-2)
(303,287,83.427212,-2)
(313,288,87.543292,-2)
(318,288,87.543292,-2)
(328,288,87.543292,-2)
(338,286,98.290289,-2)
(348,285,101.279302,-2)
(358,282,103.779101,-2)
(368,280,105.916841,-2)
(378,277,107.781271,-2)
(387,274,109.436098,-2)
(397,270,110.928452,-2)
(406,266,112.294210,-2)
(416,262,113.561516,-2)
(425,258,114.753185,-2)
(434,254,115.888382,-2)
(443,249,116.983889,-2)
(452,245,118.055141,-2)
(461,240,119.117092,-2)
(470,235,120.185150,-2)
(479,230,121.276232,-2)
(487,224,122.409981,-2)
(496,219,123.610859,-2)
(504,213,124.911026,-2)
(512,207,126.355350,-2)
(520,201,128.010517,-2)
(528,195,129.982594,-2)
(536,188,129.982594,-2)
(540,185,134.583115,-2)
(547,177,139.013245,-2)
(553,169,142.441860,-2)
(559,161,145.166744,-2)
(565,152,147.382038,-2)
(570,144,149.217056,-2)
(575,135,150.760391,-2)
(580,126,152.074028,-2)
(585,117,153.202290,-2)
(589,108,154.177116,-2)
(594,98,155.021667,-2)
(598,89,155.752151,-2)
(602,80,156.379181,-2)
(606,70,156.907997,-2)
(610,61,157.338013,-2)
(614,52,157.660767,-2)
(618,42,157.855385,-2)
(622,33,157.877388,-2)
(626,23,157.629021,-2)
(630,14,156.860619,-2)
(634,5,154.686897,-2)
(636,0,154.686897,-2)
(638,-3,154.686897,-2)
(642,-11,154.686897,-2)
(646,-19,154.686897,-2)
(650,-27,154.686897,-2)
(654,-35,154.686897,-2)
(658,-43,154.686897,-2)
(662,-51,154.686897,-2)
(666,-59,154.686897,-2)
(670,-67,154.686897,-2)
(674,-75,154.686897,-2)
(678,-83,154.686897,-2)
(682,-91,154.686897,-2)
(686,-99,154.686897,-2)
(690,-107,154.686897,-2)
(694,-115,154.686897,-2)
(698,-123,154.686897,-2)
(702,-131,154.686897,-2)
